No,Y,X4
1,37.9,10
2,42.2,9
3,47.3,5
4,54.8,5
5,43.1,5
6,32.1,3
7,40.3,7
8,46.7,6
9,18.8,1
10,22.1,3
11,41.4,1
12,58.1,9
13,39.3,5
14,23.8,4
15,34.3,4
16,50.5,2
17,70.1,6
18,37.4,1
19,42.3,8
20,47.7,7
21,29.3,3
22,51.6,7
23,24.6,1
24,47.9,7
25,38.8,4
26,27.0,2
27,56.2,5
28,33.6,5
29,47.0,4
30,57.1,5
31,22.1,0
32,25.0,7
33,34.2,1
34,49.3,6
35,55.1,7
36,27.3,0
37,22.9,2
38,25.3,1
39,47.7,6
40,46.2,5
41,15.9,0
42,18.2,0
43,34.7,5
44,34.1,6
45,53.9,4
46,38.3,8
47,42.0,9
48,61.5,3
49,13.4,0
50,13.2,1
51,44.2,4
52,20.7,1
53,27.0,3
54,38.9,5
55,51.7,5
56,13.7,0
57,41.9,8
58,53.5,7
59,22.6,1
60,42.4,5
61,21.3,2
62,63.2,6
63,27.7,3
64,55.0,4
65,25.3,0
66,44.3,8
67,50.7,6
68,56.8,5
69,36.2,6
70,42.0,5
71,59.0,9
72,40.8,3
73,36.3,8
74,20.0,0
75,54.4,10
76,29.5,1
77,36.8,3
78,25.6,3
79,29.8,2
80,26.5,1
81,40.3,4
82,36.8,6
83,48.1,7
84,17.7,3
85,43.7,7
86,50.8,9
87,27.0,1
88,18.3,0
89,48.0,0
90,25.3,0
91,45.4,1
92,43.2,0
93,21.8,4
94,16.1,0
95,41.0,5
96,51.8,5
97,59.5,9
98,34.6,3
99,51.0,5
100,62.2,9
101,38.2,4
102,32.9,1
103,54.4,6
104,45.7,6
105,30.5,6
106,71.0,6
107,47.1,8
108,26.6,1
109,34.1,2
110,28.4,3
111,51.6,5
112,39.4,7
113,23.1,3
114,7.6,6
115,53.3,8
116,46.4,2
117,12.2,1
118,13.0,0
119,30.6,3
120,59.6,5
121,31.3,5
122,48.0,5
123,32.5,4
124,45.5,0
125,57.4,7
126,48.6,6
127,62.9,4
128,55.0,5
129,60.7,6
130,41.0,7
131,37.5,8
132,30.7,3
133,37.5,5
134,39.5,8
135,42.2,6
136,20.8,0
137,46.8,5
138,47.4,6
139,43.5,0
140,42.5,5
141,51.4,5
142,28.9,3
143,37.5,5
144,40.1,5
145,28.4,1
146,45.5,5
147,52.2,0
148,43.2,8
149,45.1,0
150,39.7,8
151,48.5,7
152,44.7,9
153,28.9,1
154,40.9,6
155,20.7,0
156,15.6,0
157,18.3,0
158,35.6,4
159,39.4,5
160,37.4,4
161,57.8,8
162,39.6,3
163,11.6,0
164,55.5,5
165,55.2,0
166,30.6,1
167,73.6,6
168,43.4,8
169,37.4,5
170,23.5,1
171,14.4,0
172,58.8,5
173,58.1,9
174,35.1,4
175,45.2,7
176,36.5,3
177,19.2,0
178,42.0,9
179,36.7,4
180,42.6,1
181,15.5,0
182,55.9,8
183,23.6,3
184,18.8,0
185,21.8,0
186,21.5,3
187,25.7,3
188,22.0,0
189,44.3,8
190,20.5,0
191,42.3,8
192,37.8,2
193,42.7,7
194,49.3,5
195,29.3,0
196,34.6,5
197,36.6,2
198,48.2,8
199,39.1,7
200,31.6,8
201,25.5,0
202,45.9,5
203,31.5,3
204,46.1,5
205,26.6,1
206,21.4,3
207,44.0,10
208,34.2,3
209,26.2,1
210,40.9,8
211,52.2,5
212,43.5,1
213,31.1,2
214,58.0,9
215,20.9,3
216,48.1,8
217,39.7,1
218,40.8,6
219,43.8,5
220,40.2,8
221,78.3,9
222,38.5,0
223,48.5,10
224,42.3,0
225,46.0,6
226,49.0,6
227,12.8,0
228,40.2,8
229,46.6,0
230,19.0,0
231,33.4,3
232,14.7,0
233,17.4,1
234,32.4,9
235,23.9,4
236,39.3,7
237,61.9,10
238,39.0,0
239,40.6,0
240,29.7,0
241,28.8,2
242,41.4,7
243,33.4,3
244,48.2,8
245,21.7,3
246,40.8,5
247,40.6,6
248,23.1,0
249,22.3,0
250,15.0,1
251,30.0,7
